data_subject_id,dataset,label,node,record_text,created_at,value,owner_email
CIF007261,cifar100,42,WA,cifar100 sample record 42,2024-11-21,1.6932,user38009@example.com
CIF002798,cifar100,70,WA,cifar100 sample record 70,2024-04-15,0.6711,user30470@example.com
CIF005187,cifar100,93,NSW,cifar100 sample record 93,2024-07-17,-0.4559,user30888@example.com
CIF004749,cifar100,62,QLD,cifar100 sample record 62,2024-09-18,0.3382,user28316@example.com
CIF010524,cifar100,27,NT,cifar100 sample record 27,2024-01-29,0.5564,user1533@example.com
CIF000630,cifar100,62,NSW,cifar100 samplelrecord 62,2024-08-06,0.156,user7195@pxample.com
CIF006887,cifar100,0,VIC,cifar100 sample record 0,2024-01-22,-0.1833,user9405@example.com
CIF005429,cifar100,45,VIC,cifar100 sample record 45,2024-04-05,-0.3149,user28359@example.com
CIF010787,cifar100,80,WA,cifar100 sample record 80,2024-08-11,0.7145,user35746@example.com
CIF008116,cifar100,15,TAS,cifar100 sample record 15,2024-12-01,0.5178,user36147@example.com
CIF001463,cifar100,21,TAS,cifar100 sample record 21,2024-10-27,1.3719,user31455@example.com
CIF011678,cifar100,76,TAS,cifar100 sample record 76,2024-04-20,0.2462,user16120@example.com
CIF007207,cifar100,94,WA,cifar100 sample record 94,2024-07-21,-0.7535,user38411@example.com
CIF011052,cifar100,68,TAS,cifar100 sample record 68,2024-11-09,1.3772,user24559@example.com
CIF009221,cifar100,20,WA,cifar100 sample record 20,2024-11-11,1.073,user21951@example.com
CIF013020,cifar100,3,NT,cifar100 sample record 3,2024-09-08,-0.0421,user23645@example.com
CIF003627,cifar100,97,TAS,cifar100 sample record 97,2024-10-05,-1.0503,user905@example.com
CIF005654,cifar100,49,NSW,cifar100 sample record 49,2024-02-16,-0.7707,user35719@example.com
CIF005726,cifar100,93,TAS,cifar100 sample record 93,2024-10-02,0.1527,user14236@example.com
CIF008742,cifar100,30,TAS,cifar100 sample record 30,2024-07-08,1.0889,user34330@example.com
CIF004237,cifar100,1,QLD,cifar100 sample record 1,2024-04-02,0.1523,user16980@example.com
CIF003619,cifar100,7,VIC,cifar100 sample record 7,2024-07-24,-1.8782,user14549@example.com
