id,data_subject_id,url,brand,label,text
1,prattmichele@caldwell-butler.com,https://vega.net/by/hot/evidence,Amazon,benign,Amazon login at https://vega.net/by/hot/evidence for prattmichele@caldwell-butler.com
2,samuel02@hotmail.com,https://secure-morgan.com/live/Mrs/level,Microsoft,benign,Microsoft login at https://secure-morgan.com/live/Mrs/level for samuel02@hotmail.com
3,hdavis@allen.com,https://wolf-clarke.biz/care/remember/central,PayPal,phish,PayPal login at https://wolf-clarke.biz/care/remember/central for hdavis@allen.com
4,rberry@hotmail.com,https://miller.com/main/go/tend,PayPal,phish,PayPal login at https://miller.com/main/go/tend for rberry@hotmail.com
5,douglasjones@alvarez.com,https://cole.org/church,Apple,benign,Apple login at https://cole.org/church for douglasjones@alvarez.com
6,cgriffin@watson-hernandez.biz,https://thomas-novak.com/agree/wind,ANZ,benign,ANZ login at https://thomas-novak.com/agree/wind for cgriffin@watson-hernandez.biz
7,markgonzales@gmail.com,https://secure-murphy.org/while/computer,Microsoft,phish,Microsoft login at https://secure-murphy.org/while/computer for markgonzales@gmail.com
8,tbooth@wilson-cox.info,https://davis.info/key,Amazon,phish,Amazon login at https://davis.info/key for tbooth@wilson-cox.info
9,christinaprince@hotmail.com,https://secure-larsen.net/international/occur,Microsoft,benign,Microsoft login at https://secure-larsen.net/international/occur for christinaprince@hotmail.com
10,dkennedy@hotmail.com,https://secure-smith-sherman.org/education/nature,Amazon,phish,Amazon login at https://secure-smith-sherman.org/education/nature for dkennedy@hotmail.com
11,tammy42@garcia-miller.com,https://secure-lozano.com/which,NAB,benign,NAB login at https://secure-lozano.com/which for tammy42@garcia-miller.com
12,nicolewilliams@gmail.com,https://graves-boyer.com/local/wait,Microsoft,benign,Microsoft login at https://graves-boyer.com/local/wait for nicolewilliams@gmail.com
13,kelleymichael@yahoo.com,https://pacheco.com/road/how,Facebook,phish,Facebook login at https://pacheco.com/road/how for kelleymichael@yahoo.com
14,lphillips@davis-brown.com,https://singleton.com/reality,Amazon,phish,Amazon login at https://singleton.com/reality for lphillips@davis-brown.com
15,robertbryant@brooks.info,https://vazquez.biz/act,PayPal,benign,PayPal login at https://vazquez.biz/act for robertbryant@brooks.info
16,melissarodriguez@yahoo.com,https://secure-walsh.com/child/market/form,Apple,benign,Apple login at https://secure-walsh.com/child/market/form for melissarodriguez@yahoo.com
17,laurenalvarez@yahoo.com,https://clark-patrick.com/receive/situation/offer,Microsoft,phish,Microsoft login at https://clark-patrick.com/receive/situation/offer for laurenalvarez@yahoo.com
18,gregory56@hotmail.com,https://hughes.com/change/music,Apple,phish,Apple login at https://hughes.com/change/music for gregory56@hotmail.com
19,hardinshawna@gmail.com,https://smith-ramirez.com/light/follow,Amazon,benign,Amazon login at https://smith-ramirez.com/light/follow for hardinshawna@gmail.com
20,gwilson@gmail.com,https://fuentes.biz/their,Apple,benign,Apple login at https://fuentes.biz/their for gwilson@gmail.com
21,timothyhall@hotmail.com,https://phillips.com/add/wonder/total,ANZ,phish,ANZ login at https://phillips.com/add/wonder/total for timothyhall@hotmail.com
22,reillyjohn@yahoo.com,https://wallace-williams.com/purpose/each/art,Amazon,phish,Amazon login at https://wallace-williams.com/purpose/each/art for reillyjohn@yahoo.com
23,margaretpittman@hotmail.com,https://secure-cooper-higgins.com/early/agent/visit,Facebook,benign,Facebook login at https://secure-cooper-higgins.com/early/agent/visit for margaretpittman@hotmail.com
24,davidrodgers@james-king.com,https://swanson.biz/street/late/church,Amazon,benign,Amazon login at https://swanson.biz/street/late/church for davidrodgers@james-king.com
25,christian46@hotmail.com,https://roman-warner.org/head,NAB,phish,NAB login at https://roman-warner.org/head for christian46@hotmail.com
26,ubailey@griffin.biz,https://clark.com/above,NAB,phish,NAB login at https://clark.com/above for ubailey@griffin.biz
27,markweber@fuller.biz,https://villa-williamson.biz/window/kitchen,Facebook,benign,Facebook login at https://villa-williamson.biz/window/kitchen for markweber@fuller.biz
28,christinewelch@powell.com,https://campbell.com/kid/member,Facebook,phish,Facebook login at https://campbell.com/kid/member for christinewelch@powell.com
29,jennifer35@barajas.com,https://secure-clark.org/house,ANZ,benign,ANZ login at https://secure-clark.org/house for jennifer35@barajas.com
30,mike73@anderson.com,https://secure-gonzalez-castro.net/future/theory,PayPal,phish,PayPal login at https://secure-gonzalez-castro.net/future/theory for mike73@anderson.com
31,mwallace@gmail.com,https://secure-stark.com/high,Microsoft,benign,Microsoft login at https://secure-stark.com/high for mwallace@gmail.com
32,karlapayne@watts-johnson.info,https://secure-taylor.com/offer,Amazon,phish,Amazon login at https://secure-taylor.com/offer for karlapayne@watts-johnson.info
